"","Group","UV_Mean","CON_Mean","Sig","Mark","t","n"
"1","UV and Control - GCMS","0.4489","0.4493","0.9718","","-0.035","385"
"2","UV - Potted cultivars and branch cuttings - GCMS","0.6058","0.4116","0","***","23.427","67"
"3","Control - Potted cultivars and branch cuttings - GCMS","0.6095","0.4118","0","***","21.429","70"
"4","Potted cultivars - UV and Control - GCMS","0.6058","0.6095","0.7214","","-0.358","72"
"5","Branch cuttings - UV and Control - GCMS","0.4116","0.4118","0.9786","","-0.027","301"
"6","Donor plant 1 - UV and Control - GCMS","0.4393","0.4807","0.0021","***","-3.308","37"
"7","Donor plant 2 - UV and Control - GCMS","0.4256","0.4269","0.8982","","-0.128","67"
"8","Donor plant 3 - UV and Control - GCMS","0.341","0.3259","0.2281","","1.224","39"
"9","Donor plant 4 - UV and Control - GCMS","0.4489","0.4435","0.697","","0.392","41"
"10","Donor plant 5 - UV and Control - GCMS","0.4281","0.4055","0.2999","","1.066","19"
"11","Donor plant 6 - UV and Control - GCMS","0.3904","0.3929","0.7525","","-0.317","57"
"12","UV and Control - FTIR","0.452","0.437","0.098","*","1.659","349"
"13","UV - Potted cultivars and branch cuttings - FTIR","0.6067","0.4141","0","***","31.762","78"
"14","Control - Potted cultivars and branch cuttings - FTIR","0.6042","0.4087","0","***","28.425","56"
"15","Potted cultivars - UV and Control - FTIR","0.6067","0.6042","0.735","","0.34","53"
"16","Branch cuttings - UV and Control - FTIR","0.4141","0.4087","0.3236","","0.989","279"
"17","Donor plant 1 - UV and Control - FTIR","0.4332","0.4673","0.0228","**","-2.613","12"
"18","Donor plant 2 - UV and Control - FTIR","0.4271","0.4209","0.3019","","1.041","65"
"19","Donor plant 3 - UV and Control - FTIR","0.353","0.3255","0.0044","***","3.01","43"
"20","Donor plant 4 - UV and Control - FTIR","0.448","0.4445","0.7118","","0.372","46"
"21","Donor plant 5 - UV and Control - FTIR","0.4465","0.4203","0.0021","***","3.488","22"
"22","Donor plant 6 - UV and Control - FTIR","0.3967","0.3939","0.7308","","0.346","60"
